name,min_salary,max_salary,currency,text_salary,link,from_site
Python Developer,,,,,https://hhcdn.ru/click?b=273804&place=35&hhtmFrom=vacancy_search_list,hh.ru
Founding Data scientist / Machine Learning Engineer,500000.0,,руб.,от 500000 руб.,https://hh.ru/vacancy/51448522,hh.ru
Senior QA инженер,200000.0,,руб.,от 200000 руб.,https://hh.ru/vacancy/47759634,hh.ru
Python Developer,,,,,https://hh.ru/vacancy/51503056,hh.ru
Senior QA инженер,200000.0,,руб.,от 200000 руб.,https://hh.ru/vacancy/49887148,hh.ru
Специалист по тестированию,,,,,https://hh.ru/vacancy/40585500,hh.ru
Аналитик данных,,,,,https://hh.ru/vacancy/49548884,hh.ru
Senior QA инженер,200000.0,,руб.,от 200000 руб.,https://hh.ru/vacancy/49887149,hh.ru
Data Scientist,,,,,https://hh.ru/vacancy/50699017,hh.ru
Data engineer (аналитик данных),,,,,https://hh.ru/vacancy/50710446,hh.ru
Senior QA инженер,200000.0,,руб.,от 200000 руб.,https://hh.ru/vacancy/49887151,hh.ru
Разработчик-аналитик / Middle Data Scientist,,,,,https://hh.ru/vacancy/51017375,hh.ru
Senior QA инженер,200000.0,,руб.,от 200000 руб.,https://hh.ru/vacancy/49887150,hh.ru
Backend Python Developer,,,,,https://hh.ru/vacancy/51262245,hh.ru
Data - инженер,,,,,https://hh.ru/vacancy/48927705,hh.ru
Data Scientist,,,,,https://hh.ru/vacancy/50584852,hh.ru
Senior QA инженер,200000.0,,руб.,от 200000 руб.,https://hh.ru/vacancy/49887152,hh.ru
"Инженер-программист (ML модели, ETL процессы)",,,,,https://hh.ru/vacancy/51358145,hh.ru
QA специалист в команду Биллинга,,,,,https://hh.ru/vacancy/47251783,hh.ru
Data Engineer,,,,,https://hh.ru/vacancy/51247666,hh.ru
Python Developer,200000.0,350000.0,руб.,200000 – 350000 руб.,https://hh.ru/vacancy/51160196,hh.ru
Junior-разработчик Python,30000.0,50000.0,руб.,30000 – 50000 руб.,https://hh.ru/vacancy/50790499,hh.ru
Data engineer / Python developer,200000.0,500000.0,руб.,200000 – 500000 руб.,https://hh.ru/vacancy/50957449,hh.ru
Python разработчик,,380000.0,руб.,до 380000 руб.,https://hh.ru/vacancy/49590587,hh.ru
Программист Python,60000.0,200000.0,руб.,60000 – 200000 руб.,https://hh.ru/vacancy/49592394,hh.ru
"Python-разработчик (Django, DRF)",60000.0,150000.0,руб.,60000 – 150000 руб.,https://hh.ru/vacancy/39736489,hh.ru
